student_id,survey_date,achievement_score,adaptation_score,relationship_score,label
STU001,2025-01-01,4,4,4,0
STU001,2025-01-02,4,3,4,0
STU001,2025-01-03,4,4,3,0
STU001,2025-01-04,4,3,4,0
STU001,2025-01-05,4,3,5,0
STU001,2025-01-06,3,4,4,0
STU001,2025-01-07,3,4,4,0
STU001,2025-01-08,5,3,3,0
STU001,2025-01-09,4,3,4,0
STU001,2025-01-10,4,4,5,0
STU001,2025-01-11,5,3,4,0
STU001,2025-01-12,4,4,4,0
STU001,2025-01-13,4,5,4,0
STU001,2025-01-14,4,4,4,0
STU001,2025-01-15,4,3,4,0
STU001,2025-01-16,4,4,3,0
STU001,2025-01-17,5,4,5,0
STU001,2025-01-18,4,4,4,0
STU001,2025-01-19,4,4,3,0
STU001,2025-01-20,4,4,4,0
STU001,2025-01-21,4,3,4,0
STU001,2025-01-22,4,4,4,0
STU001,2025-01-23,4,5,4,0
STU001,2025-01-24,4,3,5,0
STU001,2025-01-25,4,3,4,0
STU001,2025-01-26,3,4,4,0
STU001,2025-01-27,4,4,4,0
STU001,2025-01-28,4,4,4,0
STU001,2025-01-29,5,4,5,0
STU001,2025-01-30,4,4,4,0
STU001,2025-01-31,5,4,4,0
STU001,2025-02-01,4,4,4,0
STU001,2025-02-02,4,4,5,0
STU001,2025-02-03,4,4,4,0
STU001,2025-02-04,5,4,5,0
STU001,2025-02-05,4,4,4,0
STU001,2025-02-06,4,4,5,0
STU001,2025-02-07,3,4,5,0
STU001,2025-02-08,4,5,4,0
STU001,2025-02-09,5,5,5,0
STU001,2025-02-10,5,4,4,0
STU001,2025-02-11,4,3,4,0
STU001,2025-02-12,3,3,4,0
STU001,2025-02-13,4,4,4,0
STU001,2025-02-14,4,4,4,0
STU001,2025-02-15,3,4,4,0
STU001,2025-02-16,4,4,3,0
STU001,2025-02-17,5,5,3,0
STU001,2025-02-18,4,4,4,0
STU001,2025-02-19,3,3,5,0
STU001,2025-02-20,4,3,5,0
STU001,2025-02-21,5,4,4,0
STU001,2025-02-22,4,4,5,0
STU001,2025-02-23,4,4,4,0
STU001,2025-02-24,4,3,4,0
STU001,2025-02-25,5,4,4,0
STU001,2025-02-26,4,4,4,0
STU001,2025-02-27,4,4,5,0
STU001,2025-02-28,4,4,4,0
STU001,2025-03-01,5,4,3,0
STU002,2025-01-01,4,4,4,0
STU002,2025-01-02,4,3,5,0
STU002,2025-01-03,3,4,5,0
STU002,2025-01-04,4,3,4,0
STU002,2025-01-05,4,5,4,0
STU002,2025-01-06,5,3,4,0
STU002,2025-01-07,4,4,4,0
STU002,2025-01-08,4,4,5,0
STU002,2025-01-09,4,4,5,0
STU002,2025-01-10,5,5,4,0
